=== Experiment 003: Tale of Two Cities ===
Date: Sun Apr  5 07:14:45 PM EDT 2026
Running exp003...
Loading data... 50257 tokens x 768d

=== Real Text: tale-ch1.txt ===
  Total tokens: 1401
  Unique tokens: 638
  Unique ratio: 45.5%
  Most repeated:
    ","          x94
    "\n"         x90
    " the"       x74
    " of"        x54
    " and"       x37
  Tokens appearing once: 494

  Decomposing (trace mode)...
   Step        Norm  Token              Hit?
  ------------------------------------------
      0  2321.1978  "The"              miss
      1  2319.2434  "The"              miss
      2  2317.2917  "The"              miss
      3  2315.3406  "The"              miss
      4  2313.3916  "The"              miss
      5  2311.4441  "The"              miss
      6  2309.4978  "The"              miss
      7  2307.5535  "The"              miss
      8  2305.6111  "The"              miss
      9  2303.6704  " in"              HIT
     10  2301.9124  "The"              miss
     11  2299.9731  " in"              HIT
     12  2298.2158  "The"              miss
     13  2296.2778  " in"              HIT
     14  2294.5227  "The"              miss
     15  2292.5874  " in"              HIT
     16  2290.8335  "The"              miss
     17  2288.8989  " in"              HIT
     18  2287.1458  "The"              miss
     19  2285.2126  " in"              HIT
     20  2283.4614  "The"              miss
     21  2281.5310  " in"              HIT
     22  2279.7808  "The"              miss
     23  2277.8506  " in"              HIT
     24  2276.1018  " in"              HIT
     25  2274.3555  "The"              miss
     26  2272.4275  " in"              HIT
     27  2270.6819  "The"              miss
     28  2268.7551  " in"              HIT
     29  2267.0100  "The"              miss
     30  2265.0862  " in"              HIT
     31  2263.3430  "The"              miss
     32  2261.4204  " in"              HIT
     33  2259.6797  "The"              miss
     34  2257.7581  " in"              HIT
     35  2256.0171  "The"              miss
     36  2254.0984  " in"              HIT
     37  2252.3591  "The"              miss
     38  2250.4419  " in"              HIT
     39  2248.7043  "The"              miss
     40  2246.7874  " in"              HIT
     41  2245.0520  "The"              miss
     42  2243.1387  " in"              HIT
     43  2241.4033  " in"              HIT
     44  2239.6704  "The"              miss
     45  2237.7585  " in"              HIT
     46  2236.0278  "The"              miss
     47  2234.1165  " in"              HIT
     48  2232.3865  "The"              miss
     49  2230.4768  " in"              HIT
     50  2228.7485  "The"              miss
     51  2226.8416  " in"              HIT
     52  2225.1143  "The"              miss
     53  2223.2085  " in"              HIT
     54  2221.4832  "The"              miss
     55  2219.5796  " in"              HIT
     56  2217.8557  "."                HIT
     57  2215.7495  "The"              miss
     58  2213.8477  " in"              HIT
     59  2212.1260  "The"              miss
     60  2210.2253  "."                HIT
     61  2208.1223  " in"              HIT
     62  2206.4026  "The"              miss
     63  2204.5034  "."                HIT
     64  2202.4026  "The"              miss
     65  2200.5061  " in"              HIT
     66  2198.7878  "."                HIT
     67  2196.6904  "The"              miss
     68  2194.7947  " of"              HIT
     69  2192.9883  " in"              HIT
     70  2191.2729  "The"              miss
     71  2189.3804  "."                HIT
     72  2187.2852  " of"              HIT
     73  2185.4812  "The"              miss
     74  2183.5889  "."                HIT
     75  2181.4968  " of"              HIT
     76  2179.6951  "The"              miss
     77  2177.8059  " in"              HIT
     78  2176.0942  "."                HIT
     79  2174.0034  "The"              miss
     80  2172.1162  " of"              HIT
     81  2170.3159  " in"              HIT
     82  2168.6084  "The"              miss
     83  2166.7222  "."                HIT
     84  2164.6353  " of"              HIT
     85  2162.8389  "The"              miss
     86  2160.9548  "."                HIT
     87  2158.8711  " in"              HIT
     88  2157.1653  "The"              miss
     89  2155.2825  " of"              HIT
     90  2153.4893  "The"              miss
     91  2151.6099  "."                HIT
     92  2149.5283  " of"              HIT
     93  2147.7366  "The"              miss
     94  2145.8577  " in"              HIT
     95  2144.1565  "."                HIT
     96  2142.0779  "The"              miss
     97  2140.2024  " of"              HIT
     98  2138.4131  " in"              HIT
     99  2136.7139  "."                HIT
    100  2134.6382  "The"              miss
    101  2132.7644  " of"              HIT
    102  2130.9778  "The"              miss
    103  2129.1060  "."                HIT
    104  2127.0330  " in"              HIT
    105  2125.3384  "The"              miss
    106  2123.4673  " of"              HIT
    107  2121.6843  "."                HIT
    108  2119.6152  "The"              miss
    109  2117.7458  " of"              HIT
    110  2115.9653  " in"              HIT
    111  2114.2739  "The"              miss
    112  2112.4077  "."                HIT
    113  2110.3411  " of"              HIT
    114  2108.5630  "The"              miss
    115  2106.6975  "."                HIT
    116  2104.6353  " to"              HIT
    117  2102.9070  "The"              miss
    118  2101.0447  " in"              HIT
    119  2099.3579  " of"              HIT
    120  2097.5828  "."                HIT
    121  2095.5234  "The"              miss
    122  2093.6633  " to"              HIT
    123  2091.9382  "The"              miss
    124  2090.0801  " of"              HIT
    125  2088.3083  "."                HIT
    126  2086.2527  " in"              HIT
    127  2084.5708  "The"              miss
    128  2082.7151  " to"              HIT
    129  2080.9929  " of"              HIT
    130  2079.2253  "The"              miss
    131  2077.3711  "."                HIT
    132  2075.3191  " to"              HIT
    133  2073.6011  "The"              miss
    134  2071.7490  " of"              HIT
    135  2069.9836  "."                HIT
    136  2067.9348  "The"              miss
    137  2066.0847  " in"              HIT
    138  2064.4092  "."                HIT
    139  2062.3635  "The"              miss
    140  2060.5156  " of"              HIT
    141  2058.7549  " to"              HIT
    142  2057.0417  "The"              miss
    143  2055.1963  "."                HIT
    144  2053.1536  " of"              HIT
    145  2051.3945  " to"              HIT
    146  2049.6858  "The"              miss
    147  2047.8419  " in"              HIT
    148  2046.1724  "."                HIT
    149  2044.1344  "The"              miss
    150  2042.2936  " of"              HIT
    151  2040.5387  " to"              HIT
    152  2038.8324  "The"              miss
    153  2036.9937  "."                HIT
    154  2034.9597  " of"              HIT
    155  2033.2070  "The"              miss
    156  2031.3713  " to"              HIT
    157  2029.6678  " in"              HIT
    158  2028.0055  "The"              miss
    159  2026.1710  "."                HIT
    160  2024.1404  " with"            HIT
    161  2022.4104  " of"              HIT
    162  2020.6628  "The"              miss
    163  2018.8311  "."                HIT
    164  2016.8043  " to"              HIT
    165  2015.1068  "The"              miss
    166  2013.2775  " with"            HIT
    167  2011.5504  " of"              HIT
    168  2009.8065  "."                HIT
    169  2007.7845  "The"              miss
    170  2005.9574  " is"              HIT
    171  2004.1974  " with"            HIT
    172  2002.4735  " to"              HIT
    173  2000.7819  "The"              miss
    174  1998.9572  " of"              HIT
    175  1997.2181  " it"              HIT
    176  1995.4764  "."                HIT
    177  1993.4579  " is"              HIT
    178  1991.7025  "The"              miss
    179  1989.8809  " with"            HIT
    180  1988.1621  " it"              HIT
    181  1986.4226  "."                HIT
    182  1984.4084  " is"              HIT
    183  1982.6552  "The"              miss
    184  1980.8365  " of"              HIT
    185  1979.1024  " it"              HIT
    186  1977.3665  "."                HIT
    187  1975.3560  " with"            HIT
    188  1973.6405  "The"              miss
    189  1971.8253  " is"              HIT
    190  1970.0763  " to"              HIT
    191  1968.3929  " it"              HIT
    192  1966.6598  " of"              HIT
    193  1964.9303  "The"              miss
    194  1963.1180  "."                HIT
    195  1961.1117  " it"              HIT
    196  1959.3815  " is"              HIT
    197  1957.6362  " with"            HIT
    198  1955.9274  "The"              miss
    199  1954.1177  "."                HIT
    200  1952.1144  " it"              HIT
    201  1950.3867  " of"              HIT
    202  1948.6632  " to"              HIT
    203  1946.9867  "The"              miss
    204  1945.1803  " is"              HIT
    205  1943.4397  " it"              HIT
    206  1941.7145  "."                HIT
    207  1939.7163  " with"            HIT
    208  1938.0127  "The"              miss
    209  1936.2087  " of"              HIT
    210  1934.4904  " it"              HIT
    211  1932.7682  " is"              HIT
    212  1931.0322  "."                HIT
    213  1929.0376  "The"              miss
    214  1927.2372  " with"            HIT
    215  1925.5380  " it"              HIT
    216  1923.8193  " of"              HIT
    217  1922.1041  "."                HIT
    218  1920.1144  " is"              HIT
    219  1918.3823  "The"              miss
    220  1916.5853  " it"              HIT
    221  1914.8693  " to"              HIT
    222  1913.2035  " with"            HIT
    223  1911.5094  "The"              miss
    224  1909.7152  "."                HIT
    225  1907.7297  " it"              HIT
    226  1906.0177  " is"              HIT
    227  1904.2897  " of"              HIT
    228  1902.5807  "The"              miss
    229  1900.7900  " with"            HIT
    230  1899.1001  " it"              HIT
    231  1897.3909  "."                HIT
    232  1895.4102  " is"              HIT
    233  1893.6866  "The"              miss
    234  1891.9000  " to"              HIT
    235  1890.2405  " of"              HIT
    236  1888.5380  " it"              HIT
    237  1886.8326  "."                HIT
    238  1884.8563  "The"              miss
    239  1883.0724  " is"              HIT
    240  1881.3538  " with"            HIT
    241  1879.6692  " it"              HIT
    242  1877.9680  "."                HIT
    243  1875.9946  " of"              HIT
    244  1874.2971  "The"              miss
    245  1872.5172  " it"              HIT
    246  1870.8169  " is"              HIT
    247  1869.1034  " with"            HIT
    248  1867.4238  "."                HIT
    249  1865.4561  "The"              miss
    250  1863.6797  " it"              HIT
    251  1861.9836  " to"              HIT
    252  1860.3358  " has"             miss
    253  1858.6033  " of"              HIT
    254  1856.9119  "The"              miss
    255  1855.1382  "."                HIT
    256  1853.1752  " it"              HIT
    257  1851.4823  " with"            HIT
    258  1849.8101  " has"             miss
    259  1848.0814  "The"              miss
    260  1846.3109  ","                HIT
    261  1844.3094  " it"              HIT
    262  1842.6206  " of"              HIT
    263  1840.9340  " has"             miss
    264  1839.2085  " to"              HIT
    265  1837.5695  "The"              miss
    266  1835.8032  " it"              HIT
    267  1834.1176  "."                HIT
    268  1832.1631  " with"            HIT
    269  1830.4972  " has"             miss
    270  1828.7756  " an"              HIT
    271  1827.1724  " of"              HIT
    272  1825.4926  "The"              miss
    273  1823.7307  " it"              HIT
    274  1822.0480  "."                HIT
    275  1820.0991  " has"             miss
    276  1818.3817  " with"            HIT
    277  1816.7213  " an"              HIT
    278  1815.1215  ","                HIT
    279  1813.1327  "The"              miss
    280  1811.3754  " it"              HIT
    281  1809.6979  " has"             miss
    282  1807.9824  " of"              HIT
    283  1806.3097  " an"              HIT
    284  1804.7142  "."                HIT
    285  1802.7715  " has"             miss
    286  1801.0609  " it"              HIT
    287  1799.3877  "The"              miss
    288  1797.6346  " with"            HIT
    289  1795.9811  " an"              HIT
    290  1794.3895  ","                HIT
    291  1792.4092  " has"             miss
    292  1790.7013  " to"              HIT
    293  1789.0795  "The"              miss
    294  1787.3319  " it"              HIT
    295  1785.6636  " of"              HIT
    296  1783.9968  "."                HIT
    297  1782.0648  " an"              HIT
    298  1780.4768  " has"             miss
    299  1778.7737  " with"            HIT
    300  1777.1276  "The"              miss
    301  1775.3846  " it"              HIT
    302  1773.7200  "."                HIT
    303  1771.7924  " an"              HIT
    304  1770.2086  " has"             miss
    305  1768.5078  " of"              HIT
    306  1766.8499  "The"              miss
    307  1765.1107  ","                HIT
    308  1763.1444  " an"              HIT
    309  1761.5631  " has"             miss
    310  1759.8683  " it"              HIT
    311  1758.2101  " with"            HIT
    312  1756.5712  "."                HIT
    313  1754.6501  " an"              HIT
    314  1753.0735  " has"             miss
    315  1751.3815  "The"              miss
    316  1749.6479  " of"              HIT
    317  1747.9963  " it"              HIT
    318  1746.3435  " with"            HIT
    319  1744.7090  " an"              HIT
    320  1743.1361  " has"             miss
    321  1741.4484  ","                HIT
    322  1739.4928  "The"              miss
    323  1737.7644  " was"             HIT
    324  1736.0679  " it"              HIT
    325  1734.4192  "."                HIT
    326  1732.5083  " an"              HIT
    327  1730.9390  " of"              HIT
    328  1729.2953  " was"             HIT
    329  1727.6019  "The"              miss
    330  1725.8788  " to"              HIT
    331  1724.2817  " it"              HIT
    332  1722.6381  " has"             miss
    333  1720.9586  "."                HIT
    334  1719.0544  " an"              HIT
    335  1717.4891  " had"             HIT
    336  1715.7714  " with"            HIT
    337  1714.1499  "The"              miss
    338  1712.4315  ","                HIT
    339  1710.4902  " have"            HIT
    340  1708.7941  " an"              HIT
    341  1707.2339  " it"              HIT
    342  1705.5958  " had"             HIT
    343  1703.8821  " of"              HIT
    344  1702.2484  " with"            HIT
    345  1700.6315  " was"             HIT
    346  1698.9497  " an"              HIT
    347  1697.3928  "."                HIT
    348  1695.4994  "The"              miss
    349  1693.7889  " have"            HIT
    350  1692.0995  " it"              HIT
    351  1690.4670  " had"             HIT
    352  1688.7604  " an"              HIT
    353  1687.2081  ";"                HIT
    354  1685.3313  " of"              HIT
    355  1683.7042  " was"             HIT
    356  1682.0293  "The"              miss
    357  1680.3240  "."                HIT
    358  1678.4381  " it"              HIT
    359  1676.8108  " had"             HIT
    360  1675.1088  " an"              HIT
    361  1673.5602  ";"                HIT
    362  1671.6882  " were"            HIT
    363  1669.9414  " with"            HIT
    364  1668.3352  " an"              HIT
    365  1666.7893  " have"            HIT
    366  1665.1097  ";"                HIT
    367  1663.2402  " it"              HIT
    368  1661.6188  " had"             HIT
